Produto,Grupo,SubGrupo,Ultima Compra,Ultima Venda,Qtd Ent,Estoque Geral,Custo Estoque,Vr.Venal,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda
CALÇA SARJA,Confeccao,CALCA,06/03/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89.9,139.9
CALÇA SKIINY BAIXA FEM,Confeccao,CALCA,29/11/13,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,71.19,229.9
CALÇA SKINNY BAIXA FEM,Confeccao,CALCA,09/08/13,00/00/00,31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,80.64,243.23333333333335
CALÇA SKINNY FEM,Confeccao,CALCA,09/08/13,00/00/00,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,66.49,136.5666666666667
CAM,Confeccao,CAMISA,28/02/13,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25.61,49.9
CAM VISCOSE,Confeccao,BLUSA,12/03/15,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAM VISCOSE C/ RENDA,Confeccao,CAMISA,10/03/16,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84.9,159.9
CAM VISCOSE C/MANGA RE,Confeccao,CAMISA,12/03/14,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAM. BASICA VISC.,Confeccao,BLUSA,30/08/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.9,79.9
CAM. C/ROT FIX,Confeccao,CAMISA,05/04/13,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAM. CAMBRAIA,Confeccao,CAMISA,06/03/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAM. CHIFFON,Confeccao,CAMISA,06/03/13,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84.9,149.9
CAM. CHIFFON EST.,Confeccao,CAMISA,05/09/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAM. COM PONTEIR,Confeccao,CAMISA,06/03/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAM. CREPE,Confeccao,CAMISA,07/08/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAM. GLOSS C/RENDA,Confeccao,CAMISA,08/08/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
CAM. GLOSS C/RENDA COST,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
CAM. GLOSS SUBLIMADA,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAM. POA,Confeccao,CAMISA,14/09/13,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.0,79.9
CAM. VISCOSE,Confeccao,CAMISA,12/03/15,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,134.9
CAM. VISCOSE C/CHIFFON SUB,Confeccao,CAMISA,05/09/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,74.9,139.9
CAM. VISCOSE C/PALA BOR,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,56.9,99.9
CAM. VISCOSE C/PNT PALITO,Confeccao,CAMISA,05/09/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,62.9,119.9
CAM. VISCOSE C/RENDA,Confeccao,CAMISA,12/03/14,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,71.4,134.9
CAM. VISCOSE C/TIRAS COSTAS,Confeccao,CAMISA,05/09/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.9,119.9
CAM. VISCOSE ESTAMP.,Confeccao,CAMISA,12/03/14,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAM.C/2BOLSOS,Confeccao,CAMISA,30/08/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
CAM.C/FRENTE,Confeccao,CAMISA,06/03/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAM.C/ROT FIX,Confeccao,CAMISA,06/03/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,72.9,139.9
CAM.CHIFFON,Confeccao,CAMISA,28/02/13,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,43.93000000000001,84.9
CAM.MG,Confeccao,CAMISA,28/02/13,00/00/00,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25.61,49.9
CAM.NESCLA JEANS,Confeccao,CAMISA,12/03/14,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAM.S/GOLA,Confeccao,CAMISA,06/03/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
CAM.TRICOLINE PENCES,Confeccao,CAMISETA,30/08/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAM.VISC,Confeccao,CAMISA,06/03/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAM.VISC.C/MANGA,Confeccao,CAMISA,05/04/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,83.9,149.9
CAM.VISCO C/RENDA,Confeccao,CAMISA,06/03/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,72.9,129.9
CAM.VISCOSE,Confeccao,CAMISA,12/03/14,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAM.VISCOSE C/ABERTO,Confeccao,CAMISA,07/08/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAM.VISCOSE C/PALA,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAM.VISCOSE C/PALA COSTA,Confeccao,CAMISA,05/06/14,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAM.VISCOSE C/RENDA,Confeccao,CAMISA,12/03/14,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAM.XADREZ C/TULE,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.9,69.9
CAMI9SETA RIBANA MAX COLAR,Confeccao,BLUSA,25/10/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,79.9
CAMIETA,Confeccao,CAMISETA,26/11/12,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.7,39.9
CAMIETAO+BOLERINHO,Confeccao,BLUSA,19/05/11,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,79.9
CAMISA,Acessorios,ACESSORIOS,22/05/19,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAMISA,Confeccao,BLUSA,31/12/12,27/01/25,1149,2.0,173.93,299.8,1,149.9,100.0,33.29,100.0,42.90163366336633,93.75262376237625
CAMISA,Confeccao,CAMISA,30/11/22,31/03/25,2914,49.0,2423.92,4905.1,42,2544.63,3407.09,1114.45,169.9,49.216377295492485,102.1037896494157
CAMISA,Confeccao,CAMISETA,27/02/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
CAMISA,Confeccao,CAPRI,08/08/16,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.66,59.9
CAMISA,Confeccao,CASACO,23/02/19,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,76.27,154.9
CAMISA 2 CORES,Confeccao,CAMISA,22/05/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,52.9,99.9
CAMISA 3/4 ESTAM,Confeccao,CAMISA,23/11/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46.9,89.9
CAMISA AMARRACAO BARRA,Confeccao,CAMISA,16/01/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAMISA BABADO,Confeccao,CAMISA,21/11/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,119.9
CAMISA BARRADA,Confeccao,CAMISA,09/03/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,89.9
CAMISA BOLSO,Confeccao,BLUSA,11/12/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAMISA BOLSO BORDADO,Confeccao,CAMISA,22/07/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,124.9,249.9
CAMISA BORBOLETA,Confeccao,CAMISA,19/03/15,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.66,89.9
CAMISA BORDADA,Confeccao,CAMISA,22/05/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAMISA BRASIL,Confeccao,BLUSA,07/06/14,00/00/00,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.9,39.9
CAMISA C,Confeccao,CAMISA,19/03/15,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15.75,119.9
CAMISA C PALA,Confeccao,CAMISA,16/04/14,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAMISA C RENDA,Confeccao,BLUSA,28/04/11,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,62.45,124.9
CAMISA C/FOIL,Confeccao,CAMISA,06/03/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAMISA C/MANGA BABADO,Confeccao,CAMISA,09/03/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.9,89.9
CAMISA C/PREGAS,Confeccao,BLUSA,09/03/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,89.9
CAMISA C/RENDA,Confeccao,CAMISA,09/03/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.9,89.9
CAMISA C/SILK PENAS,Confeccao,CAMISA,08/08/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.9,59.9
CAMISA C/SPAIK,Confeccao,CAMISA,05/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAMISA CALIFORNIA,Confeccao,BLUSA,27/04/11,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.95,99.91
CAMISA CAMBRAIA,Confeccao,CAMISA,05/04/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAMISA CARECA,Confeccao,CAMISA,01/08/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.9,44.9
CAMISA CAVADA JAC,Confeccao,CAMISA,27/03/14,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.86,119.9
CAMISA CEDA,Confeccao,CAMISA,30/08/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
CAMISA CETIM,Confeccao,CAMISA,16/04/14,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,74.9,134.9
CAMISA CETIM BARRA,Confeccao,CAMISA,16/01/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAMISA CETIM RRENDA,Confeccao,CAMISA,27/02/13,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.04,69.9
CAMISA CHIF,Confeccao,CAMISA,02/08/12,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.49,99.9
CAMISA CHIFFON,Confeccao,CAMISA,20/09/12,00/00/00,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.095555555555556,122.12222222222223
CAMISA CHIFFON C/PALA,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,61.9,119.9
CAMISA CHIFFON EST. C/RENDA,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
