ID_Produto,Produto,Grupo,SubGrupo,Ultima Compra,Ultima Venda,Qtd Ent,Estoque Geral,Custo Estoque,Vr.Venal,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda
4367,TELINHA E CAMISETA,Confeccao,BLUSA,2012-11-16,,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.9,89.9
4368,TENIS,Chinelo Feminino,CHINELO FEMININO,2018-11-09,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,102.6,199.9
4369,TENIS,Sapato Feminino,******************************,2012-08-21,,51,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,53.9125,112.4
4370,TENIS,Sapato Feminino,BOTA,2020-05-02,,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,55.33,119.9
4371,TENIS,Sapato Feminino,CHINELOS,2014-06-03,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.9,69.9
4372,TENIS,Sapato Feminino,RASTEIRINHA,2016-12-16,,34,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,250.0,499.8999999999999
4373,TENIS,Sapato Feminino,SAPATENIS,2015-10-27,,63,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,78.70666666666666,161.56666666666666
4374,TENIS,Sapato Feminino,SAPATO,2018-02-23,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,97.81,199.9
4375,TENIS,Sapato Feminino,TENIS,2018-10-31,2025-03-31,12837,556.0,49440.0,105251.6,281,22590.65,39276.83,7959.780000000001,299.9,72.69929347826087,149.23217391304348
4376,TENIS,Sapato Infantil,BOTA,2022-11-11,,36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28.350000000000005,119.90000000000002
4377,TENIS,Sapato Masculino,SAPATO,2011-12-19,,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.95,109.9
4378,TENIS,Sapato Masculino,TENIS,2018-10-31,2025-03-05,1756,12.0,1184.0,2368.8,5,652.7,899.8,110.35,199.9,93.35813253012049,186.70186746987952
4379,TENIS,Tenis Adulto,******************************,2017-09-01,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,192.93,399.9
4380,TENIS,Tenis Adulto,TENIS,2024-08-31,2025-04-23,1460,26.0,2071.0,4167.4,17,1614.3,2688.54,381.93,217.78,88.22944881889764,184.0732283464567
4381,TENIS,Tenis Infantil,TENIS INFANTIL,2021-01-27,2025-02-04,138,13.0,1235.0,2468.7,1,95.0,189.9,99.89,189.9,59.524166666666666,129.0666666666667
