ID_Unico;Referencia;Custo Venda    ;Vr.Venda       ;Reposicao      ;Pr.Venda       
130_100_0;130;2800;7980;20;60
1811_100_0;1811;1892,1;6066,8;15,9;59,9
12_100_0;12;2565,15;5237;24,43;49,9
CT04500003_3_0;CT04500003;2189,6;4605,6;128,8;299,9
705_100_0;705;2275;4420;35;70
0520_100_0;520;1200;4403,19;15;59,9
6293_100_0;6293;2480;4303,68;40;89,9
003_100_0;3;1242;4126,8;18;69,9
CT000400071_3_0;CT000400071;2048,5;4043,67;120,5;259,9
CT000100010_2_0;CT000100010;1908;3923,3;106;239,9
CT04500001_2_0;CT04500001;1932;3862,59;128,8;259,9
7890562108_3_0;7890562108;1977,77;3460;81,69;169,9
GUIMARES_100_0;GUIMARES;1026;3456,7;18;69,9
2253104_5_0;2253104;1896,05;3390,9;140,06;289,9
4146296_14_0;4146296;2105,88;3359,8;175,49;349,9
CT045000011_2_0;CT045000011;1766,4;3239,1;157,97;299,9
ULTRALEVE1_3_0;ULTRALEVE1;1840;3208,7;123,42;229,9
E0367_3_0;E0367;1574;3155,56;84,46;159,9
KABUKI_3_0;KABUKI;2382,38;3149,78;183,26;349,9
CT04510001_2_0;CT04510001;1711,2;3141;142,6;289,9
346902_3_0;346902;1667,4;3105,1;140,17;279,9
4146278_41_0;4146278;1754,88;3090,17;146,24;289,9
CT04480001_100_0;CT04480001;1526;3087,6;109;219,9
346708_3_0;346708;1805,4;3086,33;143,68;299,9
RAIDEN3_3_0;RAIDEN3;2127,24;3047,08;170,18;349,9
CT000400011_2_0;CT000400011;1561,2;3045,9;139,62;259,9
CT045000010_2_0;CT045000010;1472;2969;157,97;299,9
4146290_14_0;4146290;1950;2929,6;195;389,9
CT04510003_3_0;CT04510003;1568,6;2894,6;142,6;289,9
337703_3_0;337703;1617,85;2874,1;118,85;249,9
CT000400073_3_0;CT000400073;1431,1;2858,9;139,62;259,9
346702_3_0;346702;1583,4;2852,45;126,01;269,9
CT000400010_2_0;CT000400010;1446;2852,9;120,5;299,9
2459131_3_0;2459131;2181,6;2849,6;195,1;349,9
CT000100011_2_0;CT000100011;1441,7;2822,7;110,9;239,9
DAY4_3_0;DAY4;1495;2818,8;123,42;219,9
CT000100071_3_0;CT000100071;1441,7;2800,37;110,9;239,9
G4972_2_0;G4972;1805,44;2799,5;131,94;269,9
4145527_3_0;4145527;1520,88;2774,2;126,74;249,9
4146282_35_0;4146282;1930,56;2769,6;160,88;299,9
349104_3_0;349104;1600,5;2764,8;146,78;289,9
346901_3_0;346901;1439,4;2750,97;114,55;239,9
2220401_3_0;2220401;1472,9;2726,1;133,9;259,9
346901_5_0;346901;1439,4;2723,1;114,55;239,9
DAY1_4_0;DAY1;1688,1;2708,4;112,54;219,9
2253104_3_0;2253104;1750,2;2705,9;140,06;289,9
CT04500005_2_0;CT04500005;1659,9;2689,6;161,94;299,9
117106_5_0;117106;1565,4;2686,5;128,79;259,9
RAIDEN_4_0;RAIDEN;1949,97;2645,52;170,18;349,9
346702_5_0;346702;1847,3;2639,8;126,01;269,9
CT000100080_36_0;CT000100080;1566,5;2627,4;129,32;239,9
314721_3_0;314721;1301,4;2605,8;101,94;219,9
DAY_3_0;DAY;1300;2603,35;100;219,9
3830_100_0;3830;1105;2603,27;32,52;79,9
117106_3_0;117106;1434,95;2593,3;128,79;259,9
337703_5_0;337703;1493,4;2586,7;118,85;249,9
CT000400072_3_0;CT000400072;1325,5;2586,23;120,5;259,9
2359131_3_0;2359131;2167,23;2584,9;161,71;299,9
2360801_3_0;2360801;884;2578,7;72,98;199,9
MB122_30_0;MB122;1384,83;2572,6;64,62;119,9
261028_3_0;261028;1409,4;2567,9;115,96;229,9
CAMILLA_100_0;CAMILLA;594;2549;18;99,9
2386302_3_0;2386302;1369,2;2549,5;118,78;229,9
2057105_30_0;2057105;1472,4;2543,9;119,02;249,9
2310910_3_0;2310910;1571,88;2537;140,58;249,9
2210701_3_0;2210701;1300,6;2536,24;92,9;189,9
KABUKI_8_0;KABUKI;1649,34;2532,2;183,26;349,9
CT13070001_63_0;CT13070001;1299,1;2526,7;118,1;249,9
349105_370_0;349105;1722;2519,6;137,04;279,9
4000_100_0;4000;1260;2517,76;35;70
1019_100_0;1019;786,9;2513,97;12,9;49,9
361703_3_0;361703;1300,5;2504,3;145;289,9
DAY3_50_0;DAY3;1610;2488,47;115;219,9
CT04470002_100_0;CT04470002;1416,8;2481,51;101,2;199,9
2386302_5_0;2386302;1363,2;2478,2;118,25;229,9
2395121_3_0;2395121;1499,85;2474,2;132,26;249,9
EASY650_50_0;EASY650;1272,18;2469,03;97,86;199,9
ULTRALEVE0_3_0;ULTRALEVE0;1350,48;2459,15;112,54;229,9
2258103_3_0;2258103;1363,2;2455;110,19;219,9
1002_100_0;1002;1663,64;2449,9;37,81;60
227704_12_0;227704;2143,7;2449,76;164,9;299,9
CT00040008_36_0;CT00040008;1325,5;2447,1;120,5;239,9
CT00010007_3_0;CT00010007;1166;2436,9;106;219,9
DAY0_8_0;DAY0;1463,02;2408,4;112,54;219,9
336104_3_0;336104;1425;2399,5;133,95;279,9
314721_5_0;314721;1192,95;2396,92;101,94;219,9
CT00010008_36_0;CT00010008;1166;2386,04;106;219,9
349105_3_0;349105;1435;2385,5;137,04;279,9
AA0201_3_0;AA0201;1195,8;2378,8;99,65;199,9
Q8542_3_0;Q8542;1182,72;2377;106,75;219,9
Q6772_3_0;Q6772;1182,72;2374,9;102,14;219,9
DYNAMIC343_50_0;DYNAMIC343;1271,53;2358,88;97,81;199,9
C1285A_3_0;C1285A;1166,64;2356,12;92,36;199,9
CT25700001_8_0;CT25700001;1518;2355,57;148,1;279,9
BOREAL_14_0;BOREAL;1163,82;2351,68;83,13;169,9
2217106_11_0;2217106;1390,8;2340,05;115,9;229,9
2399301_3_0;2399301;1636,2;2339,8;141,94;269,9
CT24960002_42_0;CT24960002;1670,9;2334,6;163,02;299,9
CT23540001_4_0;CT23540001;1472;2334,5;157,97;299,9
DAY0_50_0;DAY0;1350,48;2328,3;112,54;219,9
CT000400075_3_0;CT000400075;1200,6;2326,1;143,16;259,9
2391361_3_0;2391361;1581,6;2319,8;137,21;259,9
5766PL069_3_0;5766PL069;1697,16;2313,3;141,43;259,9
2351131_5_0;2351131;2167,23;2299,99;173,54;319,9
G4972_3_0;G4972;1388,8;2299,5;131,94;269,9
2393123_2_0;2393123;1181,7;2284,7;97,55;179,9
2356123_3_0;2356123;1254;2279,1;101,37;199,9
CT000100070_3_0;CT000100070;1109;2279;110,9;239,9
3831_100_0;3831;1072,5;2266,9;32,52;69,9
CT000100040_7_0;CT000100040;1552,6;2265,8;110,9;239,9
C12990_3_0;C12990;1166,64;2264,2;92,36;199,9
GLAM2_3_0;GLAM2;1207,96;2253,1;92,92;189,9
REACAO_2_0;REACAO;1276,08;2252,74;98,16;199,9
CT18540001_3_0;CT18540001;1177,6;2249,3;157,97;299,9
EASY6500_50_0;EASY6500;1200;2248,1;100;199,9
G4563_3_0;G4563;1388,8;2243,3;131,94;259,9
TOPADULTO0_100_0;TOPADULTO0;1061,76;2241,73;17,8;39,9
CT00040004_7_0;CT00040004;1446;2239,4;120,5;239,9
2080104_2_0;2080104;1181,7;2230,81;88,17;179,9
234101_3_0;234101;2287,87;2223,8;167,19;319,9
DAY_50_0;DAY;1207,96;2213,8;92,92;179,9
3469010_3_0;3469010;1199,5;2212,5;128,73;239,9
EASY650_3_0;EASY650;1115,04;2209,97;92,92;189,9
2250102_2_0;2250102;1581,6;2206,5;127,85;259,9
G4381_3_0;G4381;1249,92;2203,2;131,94;259,9
ULTRALEVE749_3_0;ULTRALEVE749;1144,39;2201,99;88,03;199,9
354301_5_0;354301;1235,4;2199,2;105,52;199,9
G4564_2_0;G4564;1425,93;2199,5;123,15;259,9
21778_2_0;21778;1207,7;2195,8;88,25;179,9
DAY5_50_0;DAY5;1150;2184,2;123,42;219,9
CT17300001_12_0;CT17300001;1242;2184,6;148,1;279,9
2213401_2_0;2213401;1174,8;2179;97,9;199,9
1800_100_0;1800;651,9;2178,3;15,9;69,9
PROOF3_3_0;PROOF3;1300;2169,6;107,32;199,9
064002_2_0;64002;1127,88;2169,5;100,87;189,9
C27690_3_0;C27690;1120,35;2166,53;96,76;199,9
353801_3_0;353801;1303,5;2165,4;121,45;239,9
C2769_3_0;C2769;1111,08;2160,44;87,96;189,9
2312106_2_0;2312106;1247,88;2159,1;111,6;199,9
2286302_3_0;2286302;1199,4;2155,77;89,96;199,9
CT00120008_4_0;CT00120008;1325,5;2155,3;120,5;239,9
110169_3_0;110169;1571,4;2149,6;129,29;249,9
347701_3_0;347701;1831,5;2149,7;178,68;299,9
MI853_3_0;MI853;1075,2;2149,8;96,16;179,9
Q8961_3_0;Q8961;1182,72;2148,5;106,75;219,9
CT04950001_3_0;CT04950001;1090;2144;109;219,9
EASY1_50_0;EASY1;1300;2139,6;100;199,9
336104_18_0;336104;1282,5;2135,4;133,95;279,9
2310115_30_0;2310115;1221,87;2124,61;100,87;189,9
AF0607001_4_0;AF0607001;1154,34;2119,35;137,65;259,9
EASY2_3_0;EASY2;1200;2119,77;107,32;199,9
TOP1_100_0;TOP1;1043,71;2114,3;18,98;39,9
ESSENTIAL770_94_0;ESSENTIAL770;1177,92;2110,13;98,16;199,9
346901_3_1;346901;1079,55;2107,2;120,36;239,9
CT000400070_3_0;CT000400070;1040,4;2102,6;115,6;259,9
238208_3_0;238208;2339,88;2099,99;185,24;369,9
2280234_21_0;2280234;1581;2097,03;127,8;249,9
PAH0610005_3_0;PAH0610005;1212,5;2095,2;121,25;239,9
EASY3_13_0;EASY3;1076,46;2089,2;97,86;199,9
7378103_3_0;7378103;1353,1;2089,4;90,85;199,9
G4382_2_0;G4382;1499,94;2084,55;158,33;299,9
LEMA2_100_0;LEMA2;1128,6;2083,73;20,9;39,9
ANYWAY_4_0;ANYWAY;1030,54;2081,16;73,61;169,9
CT00120006_6_0;CT00120006;1040,4;2076,08;115,6;239,9
ULTRALEVE1_3_1;ULTRALEVE1;1084,59;2076,27;83,43;169,9
346901_5_1;346901;1199,5;2075,5;120,36;239,9
CT24970002_42_0;CT24970002;1242;2074,3;148,1;279,9
326803_3_0;326803;1445,4;2069,66;113,22;239,9
DAY2_3_0;DAY2;1265;2058,4;115;219,9
CANDY_3_0;CANDY;1020,76;2057,14;78,52;159,9
CT000400074_3_0;CT000400074;1040,8;2056,3;139,62;259,9
CT04190075_72_0;CT04190075;1067,2;2056,81;143,16;259,9
FLUTUA_50_0;FLUTUA;1080;2050,2;90;189,9
C0624B_41_0;C0624B;1018,49;2049,5;87,96;199,9
2350121_3_0;2350121;1250,04;2049,5;101,05;199,9
CT049500030_2_0;CT049500030;1367,1;2049,7;163,01;299,9
2310911_3_0;2310911;1403,88;2047,4;125,55;219,9
Q6811_3_0;Q6811;1182,72;2039,2;93,63;199,9
2080103_2_0;2080103;1090,8;2033,69;88,17;179,9
C1299_3_0;C1299;1018,49;2032,4;87,96;199,9
2311123_3_0;2311123;1254;2029,37;101,37;199,9
314735_5_0;314735;1051,6;2028,93;123,56;259,9
314734_3_0;314734;1096;2027,2;128,78;259,9
CT00040007_99_0;CT00040007;1200,6;2026,6;143,16;259,9
FLUTUA0_3_0;FLUTUA0;1080;2026,82;90;189,9
224903_30_0;224903;1090,7;2023,4;79,7;169,9
CT00010002_100_0;CT00010002;1006,5;2022;91,5;239,9
354305_2_0;354305;1286,45;2018;119,86;229,9
SUPERA789_2_0;SUPERA789;1354,68;2017,3;112,89;219,9
2376303_3_0;2376303;1249,6;2017,6;118,25;229,9
C2981_30_0;C2981;1111,08;2015;87,96;179,9
ADULTO_100_0;ADULTO;938,91;2005,2;19,76;39,9
APOLIS_87_0;APOLIS;1140;2002,88;101,95;189,9
FLUTUA1_3_0;FLUTUA1;1330;2000,7;101,95;189,9
2319608_21_0;2319608;1178,91;1999,3;140,58;249,9
CT045000012_2_0;CT045000012;1207,2;1999,6;161,94;299,9
326802_3_0;326802;1337,4;1998,6;104,76;219,9
LEMA1_100_0;LEMA1;1128,9;1994,2;15,9;29,9
ANYWAY1_50_0;ANYWAY1;1056,36;1982,53;88,03;169,9
119308_3_0;119308;1296;1982,56;104,76;219,9
REACAO_50_0;REACAO;1177,92;1981,27;98,16;199,9
ESPORTIVO_3_0;ESPORTIVO;978,6;1979;97,86;199,9
CT00040007_3_0;CT00040007;1000;1979,1;100;199,9
2350123_3_0;2350123;1206,92;1977,5;106,43;219,9
ANYWAY_50_0;ANYWAY;1144,39;1976,5;88,03;169,9
356704_5_0;356704;1235,4;1969,2;105,51;199,9
314711_3_0;314711;1062;1967,3;110,92;239,9
LEMA3_100_0;LEMA3;1149,5;1966,8;20,9;39,9
2080104_2_1;2080104;999,9;1960,86;88,17;179,9
AB6416001_3_0;AB6416001;1082,2;1959,2;116,14;219,9
C2769_3_1;C2769;1018,5;1959,1;96,76;199,9
CT19920003_8_0;CT19920003;1150;1957,92;115;229,9
MI631_3_0;MI631;1075,2;1952,3;96,16;179,9
T2227511_3_0;T2227511;966,9;1950,1;94,33;179,9
346901_18_0;346901;1079,55;1949,5;120,36;239,9
TOPAD1_100_0;TOPAD1;1047,15;1943,5;16,11;29,9
349106_3_0;349106;1304,55;1939,9;145,45;279,9
2356123_2_0;2356123;1254;1939,6;101,37;199,9
346902_5_0;346902;1250,55;1939,7;132,7;279,9
CT000400012_2_0;CT000400012;1067,2;1930,59;143,16;259,9
CT04950003_2_0;CT04950003;981;1926,1;109;219,9
2056101_3_0;2056101;1022,25;1924,9;64,56;139,9
CT00010007_100_0;CT00010007;913,2;1922,9;76,1;219,9
CT15920001_3_0;CT15920001;1614,6;1919,8;192,53;359,9
NIPPON_3_0;NIPPON;988,8;1916,75;30,9;59,9
4144645_13_0;4144645;1140,66;1911,9;126,74;249,9
2256102_3_0;2256102;1049,4;1909,82;91,61;189,9
CT13080001_63_0;CT13080001;1090;1904,2;109;219,9
Q7875S_3_0;Q7875S;913,92;1902,8;75,62;159,9
064001_3_0;64001;1033,89;1901,25;100,87;189,9
2393123_3_0;2393123;1090,8;1900,3;97,55;179,9
2280234_34_0;2280234;1449,25;1899,8;127,8;249,9
2180104_2_0;2180104;1199,4;1899,54;96,95;199,9
EASY2_50_0;EASY2;1300;1889,9;107,32;199,9
2191302_3_0;2191302;1199,55;1889,5;105,78;199,9
261025_3_0;261025;1142,55;1887;125,34;249,9
2120807_21_0;2120807;1207,7;1880;88,25;189,9
C1285A_3_1;C1285A;972,2;1879,4;99,12;199,9
PAE32150090_9_0;PAE32150090;970;1879,2;97;199,9
AR0211_3_0;AR0211;593,55;1877,31;65,95;239,9
R1804098_3_0;R1804098;1122,3;1876,5;120,44;229,9
G4381_18_0;G4381;1249,92;1873,51;131,94;259,9
1339334_2_0;1339334;1074,72;1871,2;86,5;179,9
AG4502003_9_0;AG4502003;1867,32;1869,8;133,38;259,9
326802_5_0;326802;1337,4;1869,9;104,76;219,9
CT00040007_100_0;CT00040007;942,7;1868,9;85,7;169,9
238601_12_0;238601;1117,87;1859,5;92,28;169,9
IDENTICA_100_0;IDENTICA;558;1857,5;18;69,9
TOP3_100_0;TOP3;877,92;1855,5;19,63;39,9
FLUTUA_3_0;FLUTUA;968,77;1852,2;88,07;179,9
CT00010001_2_0;CT00010001;988;1849,4;132,54;249,9
EASY0_3_0;EASY0;1000;1849,91;100;199,9
110072_3_0;110072;1071,85;1843,9;81,4;169,9
2423208_41_0;2423208;1242;1843,39;88,86;159,9
326803_5_0;326803;1445,4;1839,9;113,22;239,9
238601_3_0;238601;1031,88;1829,4;92,28;169,9
23111211_3_0;23111211;1100;1829,3;107,32;199,9
6706_47_0;6706;489,24;1827,48;54,37;219,9
A400_3_0;A400;270;1820;10;70
51U386X_100_0;51U386X;1405,35;1819,73;156,15;319,9
2295104_406_0;2295104;1604,35;1809,7;141,47;289,9
2072201_2_0;2072201;1437,15;1808,4;104,02;219,9
EASY_3_0;EASY;1001,16;1802,35;83,43;169,9
CROCKS_100_0;CROCKS;600;1800;20;60
ULTRALEVE_3_0;ULTRALEVE;942,24;1791;78,52;159,9
2297144_3_0;2297144;1090,2;1790,2;87,24;179,9
2312106_3_0;2312106;1351,87;1789,7;111,6;199,9
110169_5_0;110169;1349,5;1787,1;133,24;249,9
SUPERA_3_0;SUPERA;1241,79;1786,4;112,89;219,9
CT23550001_4_0;CT23550001;1067,2;1786;143,16;269,9
238601_745_0;238601;1031,88;1782,3;92,28;169,9
MI631_5_0;MI631;1075,2;1782,3;96,16;179,9
CT19920015_541_0;CT19920015;1019,2;1780;136,72;249,9
143211_3_0;143211;956,45;1780,6;85,84;169,9
CT04460002_3_0;CT04460002;1067,2;1779,7;143,16;259,9
2213401_3_0;2213401;979;1779,2;97,9;199,9
C3013_2_0;C3013;1018,49;1779,9;94,4;189,9
PAE3213002_3_0;PAE3213002;1022,23;1779,4;92,93;199,9
2311121_30_0;2311121;1100;1779,4;104,1;199,9
MA112_3_0;MA112;1290,24;1779,7;115,39;199,9
CL0062_84_0;CL0062;653,95;1777,6;59,45;219,9
540331_3_0;540331;914,25;1774,5;60,17;119,9
332110_3_0;332110;899,4;1773,9;70,45;149,9
2080101_3_0;2080101;1090,8;1772,31;88,17;179,9
AC3215004_3_0;AC3215004;889,5;1771,1;88,95;179,9
CT26610002_50_0;CT26610002;1122,8;1769,6;172,14;299,9
CT00040007_100_1;CT00040007;910,8;1769,1;101,2;199,9
119310_28_0;119310;1170;1769,7;113,49;239,9
6459118_148_0;6459118;1090,72;1769,82;67,31;139,9
CT27770002_42_0;CT27770002;1122,8;1769,5;172,14;299,9
2298101_3_0;2298101;1292,5;1766,65;124,12;259,9
C0638A_2_0;C0638A;944,4;1765,09;74,77;159,9
CHINELO_100_0;CHINELO;702,1;1764,1;11,9;29,9
ULTRALEVE147_4_0;ULTRALEVE147;1237,94;1759,8;112,54;229,9
CT00040004_100_0;CT00040004;910,8;1759,1;101,2;199,9
GRAVIDADE_4_0;GRAVIDADE;971,74;1757,3;88,34;169,9
ARRASO_100_0;ARRASO;666;1757,5;18;49,9
VORTICE_14_0;VORTICE;968,77;1754,38;88,07;179,9
COOL3246_5_0;COOL3246;1076,9;1750,4;97,9;189,9
CT00010007_99_0;CT00010007;988;1749,7;132,54;239,9
CT04200037_100_0;CT04200037;872,4;1748,9;72,7;179,9
2253101_3_0;2253101;1104,3;1748,3;117,83;219,9
G9371_2_0;G9371;1157,4;1747,4;118;219,9
CT049500010_3_0;CT049500010;1215,2;1746,95;163,01;299,9
5028_100_0;5028;780;1745,15;32,52;79,9
T2227505_3_0;T2227505;1018,8;1742,2;91,11;169,9
PAE2013001_47_0;PAE2013001;888,8;1741;80,8;159,9
62911175_22_0;62911175;961,2;1739,1;77,37;159,9
2290121_5_0;2290121;1181,05;1739,46;87,24;179,9
CITRUS_3_0;CITRUS;900;1730,2;96,59;179,9
JOGGING_2_0;JOGGING;1265;1729,9;123,42;229,9
2180104_3_0;2180104;1099,45;1729,66;96,95;199,9
2312121_3_0;2312121;1099,45;1729,6;96,95;199,9
CT19910002_4_0;CT19910002;1117,8;1727,2;124,2;249,9
Z9741_51_0;Z9741;962,91;1726,56;70,37;149,9
EASY650_3_1;EASY650;880,74;1725,05;97,86;199,9
Z9451_51_0;Z9451;944,4;1721,2;74,77;159,9
233406_3_0;233406;1679,88;1719,9;132,99;279,9
CT005010001_2_0;CT005010001;1075,2;1716,19;192,31;349,9
LEMA0_100_0;LEMA0;765;1715,9;17;39,9
Y8214007_22_0;Y8214007;1202,4;1707,7;129,04;239,9
AK0501005_30_0;AK0501005;1010,07;1706,4;120,44;229,9
Y8214001_3_0;Y8214001;1202,4;1704,09;129,04;239,9
2080104_3_0;2080104;909;1700,17;88,17;179,9
2351101_3_0;2351101;1648,2;1700;142,98;269,9
361704_18_0;361704;1188;1699,7;149,01;299,9
2113807_2_0;2113807;1219,9;1698,7;105,35;219,9
CT00120007_9_0;CT00120007;1205;1697,8;120,5;239,9
BRASIL4_100_0;BRASIL4;852,38;1694,12;25,07;49,9
11228280_3_0;11228280;1141,02;1693,5;59,59;119,9
2311802_3_0;2311802;890,91;1689,2;106,23;199,9
ULTRALEVE749_50_0;ULTRALEVE749;1012,86;1689,79;112,54;219,9
2333221_30_0;2333221;1090,2;1689,5;97,5;179,9
347701_5_0;347701;1831,5;1686,94;178,68;299,9
AD1106_81_0;AD1106;1110,2;1679,22;85,4;169,9
7183104_53_0;7183104;1091,16;1678,1;76,95;139,9
117086_3_0;117086;835,6;1678,27;103,12;219,9
7510_100_0;7510;837,36;1677,6;34,89;69,9
BC0050_3_0;BC0050;625,05;1676,21;69,45;249,9
C1287_3_0;C1287;842,53;1675,7;61,57;129,9
7358222_3_0;7358222;932,1;1674,9;70,79;139,9
T5815325_3_0;T5815325;1018,8;1671,2;80,66;159,9
225502_10_0;225502;946,8;1671,2;74,95;159,9
C1299_2_0;C1299;833,31;1670,25;87,96;199,9
C2773_3_0;C2773;879,6;1669,5;89,67;199,9
2180104_2_1;2180104;1199,4;1669,85;96,95;199,9
2310115_3_0;2310115;939,9;1669,4;100,87;189,9
2350121_9_0;2350121;1354,21;1669,9;101,05;199,9
2153103_30_0;2153103;1363;1662,77;132,21;269,9
AE2032004_30_0;AE2032004;881,7;1660,4;94,62;179,9
6459110_3_0;6459110;845,16;1660,11;59,57;139,9
CT00010001_100_0;CT00010001;837,1;1658,9;76,1;159,9
2175133_3_0;2175133;1581,6;1650,82;127,85;259,9
T4318238_3_0;T4318238;944,9;1650,7;83,32;169,9
2078203_2_0;2078203;1099,45;1649,26;94,04;199,9
VITORIA_100_0;VITORIA;486;1649,93;18;69,9
2443206_37_0;2443206;1381,2;1648,7;123,52;239,9
FL800807_3_0;FL800807;373,5;1647,2;24,9;119,9
TOPADULTO_100_0;TOPADULTO;896,5;1644,5;16,3;29,9
2333221_3_0;2333221;1181,05;1642,5;97,5;179,9
BRASIL2_100_0;BRASIL2;826,2;1641,6;22,95;54,9
EASY650_50_1;EASY650;836,28;1640,3;92,92;189,9
ULTRALEVE2_4_0;ULTRALEVE2;1144,39;1640,8;88,03;169,9
1339332_2_0;1339332;1074,72;1639,6;86,5;179,9
CM0027_312_0;CM0027;643,05;1639,8;71,45;279,9
L9005_3_0;L9005;1101,8;1639,6;80,23;159,9
CT04200076_9_0;CT04200076;864,5;1639,4;132,54;239,9
MI841_3_0;MI841;887,04;1635,83;83,87;159,9
C1311_8_0;C1311;777,7;1634,7;52,77;119,9
PAE2011003_3_0;PAE2011003;998,66;1633,4;76,82;159,9
AK3202004_30_0;AK3202004;1202,4;1633,37;129,04;239,9
2238501_2_0;2238501;940,5;1629,4;101,36;199,9
1214205_3_0;1214205;797,3;1624,8;51,25;119,9
2080103_3_0;2080103;909;1622,3;87,29;179,9
2080103_2_1;2080103;818,1;1619,1;87,29;179,9
P5814695_3_0;P5814695;908,7;1611;66,4;139,9
NIPPON1_3_0;NIPPON1;904,5;1608,7;33,5;69,9
VOACOLORS_3_0;VOACOLORS;1027,53;1605,2;146,79;289,9
752_100_0;752;802,47;1605,3;34,89;69,9
7650_100_0;7650;802,47;1605,4;34,89;69,9
225502_3_0;225502;867,9;1605,2;74,95;159,9
G3971_3_0;G3971;962,91;1604,3;70,37;149,9
ANYWAY_14_0;ANYWAY;831,3;1603,42;83,13;169,9
TOP5_100_0;TOP5;758,09;1600,4;18,92;39,9
C1986_3_0;C1986;888,84;1599,1;70,37;149,9
143158_3_0;143158;999,5;1599,7;91,95;199,9
314709_5_0;314709;909;1599,5;94,94;199,9
2253102_26_0;2253102;981,6;1597,4;117,83;219,9
1419202_2_0;1419202;844,25;1591,5;82,37;149,9
C1286A_50_0;C1286A;1055,52;1589,7;83,56;179,9
CT19920001_14_0;CT19920001;920;1589,6;115;229,9
CT23550001_4_1;CT23550001;800,4;1589,15;133,4;269,9
CT04950004_36_0;CT04950004;981;1586,4;109;219,9
C1296_3_0;C1296;832,15;1584;71,87;149,9
CT00040003_100_0;CT00040003;809,6;1584,54;101,2;239,9
143192_3_0;143192;1013,35;1583,5;76,96;159,9
2059101_406_0;2059101;1090,8;1581,33;87,29;179,9
355701_3_0;355701;1286,45;1579,9;119,86;229,9
T4414223_3_0;T4414223;971,1;1579,31;104,66;199,9
KATIA_3_0;KATIA;382,56;1579,58;47,82;269,9
DA822_3_0;DA822;777,77;1574,8;119,24;229,9
2210209_2_0;2210209;933,9;1572,3;84,9;169,9
CT00120006_100_0;CT00120006;809,6;1569,2;101,2;239,9
493509841_14_0;493509841;889;1569,6;95,41;179,9
2214603_2_0;2214603;1131,9;1569,8;102,9;199,9
2328204_30_0;2328204;1026,9;1567,8;122,45;239,9
2158102_100_0;2158102;1145,25;1566,66;123,43;259,9
2075204_2_0;2075204;1090,8;1560,07;85,53;189,9
2080203_3_0;2080203;999,9;1559,17;85,53;179,9
AA0201_2_0;AA0201;1195,8;1559,5;99,65;199,9
SA3049_3_0;SA3049;759,2;1559,22;94,9;199,9
L8668_8_0;L8668;1101,8;1555,6;80,23;159,9
VENUS_41_0;VENUS;880,2;1554,19;73,35;149,9
12345_100_0;12345;560,56;1554,41;43,12;169,9
TOPAD2_100_0;TOPAD2;839,8;1554,8;16,15;29,9
D0391_3_0;D0391;822,2;1551,5;176,47;319,9
51J681X_100_0;51J681X;981,31;1550,39;89,21;179,9
2256102_406_0;2256102;858,6;1550,26;91,61;189,9
CT30220001_14_0;CT30220001;1047;1549,9;187,27;349,9
ANGELINA_3_0;ANGELINA;319,2;1549,64;39,9;239,9
225502_9_0;225502;946,8;1547,34;74,95;159,9
INDEX_3_0;INDEX;855;1541,3;101,95;189,9
G4123_14_0;G4123;1018,5;1539,44;96,76;199,9
110142_3_0;110142;999,5;1539,6;98,68;199,9
MI603_3_0;MI603;1209,6;1539,9;129,81;239,9
2180105_2_0;2180105;1363,2;1538,68;110,19;219,9
64281011_30_0;64281011;824,07;1536,8;55,1;119,9
2118808_2_0;2118808;908,7;1535,1;66,4;139,9
CT04480001_100_1;CT04480001;872;1533,18;109;219,9
238601_2_0;238601;945,89;1531,65;92,28;169,9
064002_254_0;64002;939,9;1529,9;100,87;189,9
CT04200039_100_0;CT04200039;727;1529,2;72,7;179,9
R18040860_22_0;R18040860;897,84;1529,46;120,44;229,9
314710_5_0;314710;1093,05;1529,8;114,16;239,9
332112_18_0;332112;824,45;1526,6;70,45;149,9
C1299_3_1;C1299;879,6;1525,4;83,56;189,9
6428104_12_0;6428104;797,3;1524,99;53,53;119,9
C1311_3_0;C1311;722,15;1516,58;52,77;119,9
7320217_38_0;7320217;1018,36;1515,59;68,38;139,9
AR0214_50_0;AR0214;629,5;1515,52;62,95;229,9
7151102_3_0;7151102;805,56;1512,2;63,1;139,9
MI853_5_0;MI853;1075,2;1510,6;96,16;179,9
C1296_98_0;C1296;832,15;1509,98;71,87;149,9
2155101_38_0;2155101;1022,4;1509,7;110,19;219,9
CT25700002_2_0;CT25700002;828;1505,6;148,1;279,9
221501_41_0;221501;867,9;1501,4;74,95;159,9
HIBISC_8_0;HIBISC;1265;1500;123,42;229,9
2216004_2_0;2216004;1250,1;1500;138,9;269,9
7378112_2_0;7378112;967,96;1499,6;74,2;139,9
7358223_3_0;7358223;749,87;1499;67,31;139,9
NUVEM_100_0;NUVEM;500;1498,18;20;60
346601_3_0;346601;764,5;1494;66,37;139,9
1402101_2_0;1402101;1075,36;1493,03;77,76;169,9
MI841_98_0;MI841;967,68;1491,5;83,87;159,9
L8101_3_0;L8101;944,4;1491,45;74,76;159,9
498709801_14_0;498709801;815,2;1489,4;109,36;199,9
2395121_12_0;2395121;954,45;1489,7;132,26;249,9
CT28330002_578_0;CT28330002;962,4;1484,7;172,14;299,9
