ID_Unico;Referencia;Custo Venda    ;Vr.Venda       ;Reposicao      ;Pr.Venda       
312015_100_0;312015;144,9;181,9;140,4;259,9
D3008_100_0;D3008;179,7;181,8;59,9;119,9
6302509_100_0;6302509;138,6;180;69,3;139,9
14453_100_0;14453;199,8;180;107,22;169,9
12564_100_0;12564;130;180;58,44;129,9
BL390_100_0;BL390;209,7;180;66,33;139,9
924_100_0;924;97;180;91,18;199,9
92351200_100_0;92351200;92;180;98,73;189,9
45_100_1;45;90;179,8;45;89,9
M99_100_0;M99;99,9;179,9;89,91;179,9
281304_100_0;281304;179,8;179,89;80,91;169,9
534_100_0;534;169,9;179,9;51,25;299,9
361705_100_0;361705;99,9;179,9;89,91;179,9
SH599_100_0;SH599;84;179,7;28;59,9
11902_100_0;11902;269,7;179,89;89,9;169,9
957292_100_0;957292;35,12;179,8;15,8;89,9
9786_100_1;9786;86,7;179,7;26,01;59,9
3834_100_0;3834;30;179,7;10;59,9
0097863_100_0;97863;43,35;179,7;15,51;59,9
1047_100_0;1047;111,6;179,65;25,11;59,9
01210198_100_0;1210198;80,64;179,1;8,97;19,9
4310001_100_0;4310001;85,32;179,4;14,22;29,9
04536089_100_0;4536089;87,78;179,4;14,64;29,9
47900011_100_0;47900011;80,94;179,4;13,49;29,9
B46540105_100_0;B46540105;99,9;179,9;99,9;179,9
1005189_100_0;1005189;199,98;179,92;91,99;199,9
271509_100_0;271509;159,9;179,89;106,4;299,9
COURO2_100_0;COURO2;90;179,8;45;89,9
78237_100_0;78237;59,8;179,88;14,95;59,9
1040X_100_0;1040X;89,9;179,9;89,9;179,9
C25_100_0;C25;100;179,67;25;49,9
6024215_100_0;6024215;76,41;179,7;25,47;59,9
CMI8288_100_0;CMI8288;239,7;179,83;71,86;149,9
55688_100_0;55688;82,08;179,8;41,04;89,9
1766B_100_0;1766B;42,9;179,8;21,45;89,9
CALCA_100_0;CALCA;59,9;179,9;59,9;179,9
10783_100_0;10783;159,9;179,9;152,71;299,9
10785_100_0;10785;159,9;179,95;152,71;299,9
9634_100_0;9634;47,9;179,8;23,95;89,9
78211_100_0;78211;134,7;179,89;44,9;89,9
170824_100_0;170824;90;179,8;40,5;89,9
360_100_0;360;111,8;179,9;55,9;99,9
RIBITE_100_0;RIBITE;100;179,8;20;49,9
KLIM_100_0;KLIM;100;179,7;25;49,9
1654_100_0;1654;179,7;179,98;59,9;99,9
14180_100_0;14180;101,7;179,8;30,51;69,9
BPA47_100_0;BPA47;95,8;179,8;43,1;89,9
3112113_100_0;3112113;239,7;179,86;71,91;139,9
E13784_100_0;E13784;83,52;179,7;27,84;59,9
B44080005_100_0;B44080005;179,7;179,96;59,9;99,9
2200_100_0;2200;100;179,68;22,5;49,9
1038_100_0;1038;269,7;179,96;89,9;159,9
206057_100_0;206057;209,7;179,95;62,91;119,9
2141_100_1;2141;110,7;179,77;33,21;69,9
291241_100_0;291241;99,8;179,8;46,08;89,9
1825B_100_0;1825B;89,8;179,8;44,9;89,9
B41280005_100_0;B41280005;99,8;179,8;47,18;89,9
281249_100_0;281249;99,8;179,8;44,91;89,9
1760007_100_0;1760007;209,7;179,96;69,9;129,9
11854_100_0;11854;209,7;179,89;69,9;139,9
5999_100_0;5999;149,4;179,86;24,9;49,9
4212_100_0;4212;204;179,93;61,2;139,9
11965_100_0;11965;119,8;179,8;59,9;119,9
L1017_100_0;L1017;89,7;179,64;29,9;59,9
BP2959_100_0;BP2959;87;179,7;29;59,9
1655_100_0;1655;99,8;179,79;49,9;89,9
60456_100_0;60456;175,32;179,88;43,83;89,9
55735_100_0;55735;100,26;179,69;33,42;69,9
B48990005_100_0;B48990005;99,9;179,9;99,9;179,9
1521_100_0;1521;139,8;179,86;69,9;119,9
6388_100_0;6388;159,8;179,87;64,56;149,9
74510010_100_0;74510010;90,9;178,13;15,15;29,9
73600010_100_0;73600010;89,22;178,19;14,87;29,9
4538089_100_0;4538089;91,86;178,12;15,31;29,9
