ID_Produto,Nome_Produto,ID_Grupo,Grupo,ID_SubGrupo,SubGrupo,ID_Cor,Cor,Ultima Compra,Qtd Ent,Ultima Venda,Estoque Geral,Custo Estoque,Vr.Estoque,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda,ID_Unico
80215822,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,07/10/2021,8,27/04/2022,0,0.0,0.0,6,4140.0,7855.0,"89,73",13091.0,6486.0,1399.0,80215822_100_0
70215222,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,03/09/2021,7,24/02/2022,0,0.0,0.0,6,4200.0,78546.0,"87,01",13091.0,658.0,1399.0,70215222_100_0
41418,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,26/07/2021,14,11/07/2022,0,0.0,0.0,12,5268.0,78536.0,"49,08",6544.0,3951.0,899.0,41418_100_0
BE41211,BERMUDA                       ,12,Confeccao                     ,19,BERMUDA                       ,100,UNICA                         ,10/08/2020,5,06/10/2020,0,0.0,0.0,4,4796.0,78523.0,"63,73",1963.0,11391.0,2199.0,BE41211_100_0
80587,CAMISA                        ,12,Confeccao                     ,34,CAMISA                        ,100,UNICA                         ,08/06/2021,8,15/09/2022,0,0.0,0.0,8,38392.0,7842.0,"104,26",9802.0,4799.0,999.0,80587_100_0
90560006,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,26/11/2022,8,27/07/2023,0,0.0,0.0,6,2202.0,7834.0,"255,77",13056.0,367.0,1399.0,90560006_100_0
7557,BERMUDA                       ,12,Confeccao                     ,19,BERMUDA                       ,100,UNICA                         ,27/09/2021,6,23/12/2022,0,0.0,0.0,5,20725.0,78361.0,"278,1",15672.0,4145.0,1599.0,7557_100_0
VL169,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,17/12/2020,7,03/03/2022,0,0.0,0.0,8,7192.0,78128.0,"8,63",9766.0,899.0,1699.0,VL169_100_0
VE999,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,17/09/2024,8,17/01/2025,1,500.0,999.0,9,4500.0,7794.0,"73,2",866.0,500.0,999.0,VE999_100_0
95513,FLARE                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,28/03/2025,6,29/05/2025,0,0.0,0.0,5,2505.0,7796.0,"211,22",15592.0,5377.0,1699.0,95513_100_0
2560,CASACO                        ,12,Confeccao                     ,75,CASACO                        ,100,UNICA                         ,25/05/2022,10,05/07/2022,0,0.0,0.0,10,5100.0,77956.0,"52,85",7795.0,4023.0,1199.0,2560_100_0
42351152,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,20/06/2023,4,06/01/2024,0,0.0,0.0,4,4120.0,7797.0,"89,25",19492.0,10391.0,1999.0,42351152_100_0
CL41773,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,16/03/2022,4,29/12/2023,0,0.0,0.0,3,5097.0,7797.0,"52,97",2599.0,16141.0,2999.0,CL41773_100_0
